CountryId,Name,ISOCode,CommId
533,b'Aruba',ABW,
4,b'Afghanistan',AFG,16.0
24,b'Angola',AGO,5.0
660,b'Anguilla',AIA,
248,b'land Islands',ALA,
8,b'Albania',ALB,17.0
20,b'Andorra',AND,
784,b'United Arab Emirates',ARE,18.0
32,b'Argentina',ARG,6.0
51,b'Armenia',ARM,16.0
16,b'American Samoa',ASM,
10,b'Antarctica',ATA,
260,b'French Southern Territories',ATF,
28,b'Antigua and Barbuda',ATG,7.0
36,b'Australia',AUS,1.0
40,b'Austria',AUT,0.0
31,b'Azerbaijan',AZE,16.0
108,b'Burundi',BDI,
56,b'Belgium',BEL,0.0
204,b'Benin',BEN,12.0
535,"b'Bonaire, Sint Eustatius and Saba'",BES,
854,b'Burkina Faso',BFA,5.0
50,b'Bangladesh',BGD,14.0
100,b'Bulgaria',BGR,17.0
48,b'Bahrain',BHR,18.0
44,b'Bahamas',BHS,7.0
70,b'Bosnia and Herzegovina',BIH,10.0
652,b'Saint Barthlemy',BLM,
112,b'Belarus',BLR,0.0
84,b'Belize',BLZ,7.0
60,b'Bermuda',BMU,
68,"b'Bolivia, Plurinational State of'",BOL,6.0
76,b'Brazil',BRA,6.0
52,b'Barbados',BRB,19.0
96,b'Brunei Darussalam',BRN,2.0
64,b'Bhutan',BTN,
74,b'Bouvet Island',BVT,
72,b'Botswana',BWA,5.0
140,b'Central African Republic',CAF,
124,b'Canada',CAN,7.0
166,b'Cocos (Keeling) Islands',CCK,
756,b'Switzerland',CHE,3.0
152,b'Chile',CHL,6.0
156,b'China',CHN,8.0
384,"b""Cte d'Ivoire""",CIV,5.0
120,b'Cameroon',CMR,5.0
180,"b'Congo, The Democratic Republic of the'",COD,5.0
178,b'Congo',COG,5.0
184,b'Cook Islands',COK,1.0
170,b'Colombia',COL,9.0
174,b'Comoros',COM,5.0
132,b'Cabo Verde',CPV,0.0
188,b'Costa Rica',CRI,13.0
192,b'Cuba',CUB,6.0
531,b'Curaao',CUW,
162,b'Christmas Island',CXR,
136,b'Cayman Islands',CYM,
196,b'Cyprus',CYP,17.0
203,b'Czechia',CZE,0.0
276,b'Germany',DEU,0.0
262,b'Djibouti',DJI,11.0
212,b'Dominica',DMA,7.0
208,b'Denmark',DNK,0.0
214,b'Dominican Republic',DOM,0.0
12,b'Algeria',DZA,
218,b'Ecuador',ECU,9.0
818,b'Egypt',EGY,17.0
232,b'Eritrea',ERI,
732,b'Western Sahara',ESH,
724,b'Spain',ESP,0.0
233,b'Estonia',EST,0.0
231,b'Ethiopia',ETH,11.0
246,b'Finland',FIN,0.0
242,b'Fiji',FJI,1.0
238,b'Falkland Islands (Malvinas)',FLK,
250,b'France',FRA,3.0
234,b'Faroe Islands',FRO,0.0
583,"b'Micronesia, Federated States of'",FSM,
266,b'Gabon',GAB,5.0
826,b'United Kingdom',GBR,0.0
268,b'Georgia',GEO,4.0
831,b'Guernsey',GGY,
288,b'Ghana',GHA,12.0
292,b'Gibraltar',GIB,
324,b'Guinea',GIN,
312,b'Guadeloupe',GLP,
270,b'Gambia',GMB,0.0
624,b'Guinea-Bissau',GNB,0.0
226,b'Equatorial Guinea',GNQ,0.0
300,b'Greece',GRC,17.0
308,b'Grenada',GRD,
304,b'Greenland',GRL,
320,b'Guatemala',GTM,13.0
254,b'French Guiana',GUF,
316,b'Guam',GUM,
328,b'Guyana',GUY,7.0
344,b'Hong Kong',HKG,8.0
334,b'Heard Island and McDonald Islands',HMD,
340,b'Honduras',HND,13.0
191,b'Croatia',HRV,17.0
332,b'Haiti',HTI,
348,b'Hungary',HUN,0.0
360,b'Indonesia',IDN,2.0
833,b'Isle of Man',IMN,
