CountryId,Name,ISOCode,CommId
533,b'Aruba',ABW,
4,b'Afghanistan',AFG,13.0
24,b'Angola',AGO,16.0
660,b'Anguilla',AIA,
248,b'land Islands',ALA,
8,b'Albania',ALB,12.0
20,b'Andorra',AND,
784,b'United Arab Emirates',ARE,13.0
32,b'Argentina',ARG,0.0
51,b'Armenia',ARM,13.0
16,b'American Samoa',ASM,
10,b'Antarctica',ATA,
260,b'French Southern Territories',ATF,
28,b'Antigua and Barbuda',ATG,
36,b'Australia',AUS,9.0
40,b'Austria',AUT,2.0
31,b'Azerbaijan',AZE,13.0
108,b'Burundi',BDI,2.0
56,b'Belgium',BEL,2.0
204,b'Benin',BEN,
535,"b'Bonaire, Sint Eustatius and Saba'",BES,
854,b'Burkina Faso',BFA,1.0
50,b'Bangladesh',BGD,
100,b'Bulgaria',BGR,12.0
48,b'Bahrain',BHR,4.0
44,b'Bahamas',BHS,5.0
70,b'Bosnia and Herzegovina',BIH,3.0
652,b'Saint Barthlemy',BLM,
112,b'Belarus',BLR,2.0
84,b'Belize',BLZ,
60,b'Bermuda',BMU,
68,"b'Bolivia, Plurinational State of'",BOL,
76,b'Brazil',BRA,0.0
52,b'Barbados',BRB,10.0
96,b'Brunei Darussalam',BRN,8.0
64,b'Bhutan',BTN,
74,b'Bouvet Island',BVT,
72,b'Botswana',BWA,
140,b'Central African Republic',CAF,
124,b'Canada',CAN,5.0
166,b'Cocos (Keeling) Islands',CCK,
756,b'Switzerland',CHE,1.0
152,b'Chile',CHL,2.0
156,b'China',CHN,7.0
384,"b""Cte d'Ivoire""",CIV,1.0
120,b'Cameroon',CMR,2.0
180,"b'Congo, The Democratic Republic of the'",COD,15.0
178,b'Congo',COG,4.0
184,b'Cook Islands',COK,
170,b'Colombia',COL,
174,b'Comoros',COM,
132,b'Cabo Verde',CPV,
188,b'Costa Rica',CRI,5.0
192,b'Cuba',CUB,
531,b'Curaao',CUW,
162,b'Christmas Island',CXR,
136,b'Cayman Islands',CYM,
196,b'Cyprus',CYP,12.0
203,b'Czechia',CZE,2.0
276,b'Germany',DEU,2.0
262,b'Djibouti',DJI,
212,b'Dominica',DMA,
208,b'Denmark',DNK,2.0
214,b'Dominican Republic',DOM,5.0
