CountryId,Name,ISOCode,CommId
533,b'Aruba',ABW,
4,b'Afghanistan',AFG,16.0
24,b'Angola',AGO,11.0
660,b'Anguilla',AIA,
248,b'land Islands',ALA,
8,b'Albania',ALB,0.0
20,b'Andorra',AND,
784,b'United Arab Emirates',ARE,7.0
32,b'Argentina',ARG,1.0
51,b'Armenia',ARM,8.0
16,b'American Samoa',ASM,
10,b'Antarctica',ATA,
260,b'French Southern Territories',ATF,
28,b'Antigua and Barbuda',ATG,13.0
36,b'Australia',AUS,4.0
40,b'Austria',AUT,8.0
31,b'Azerbaijan',AZE,2.0
108,b'Burundi',BDI,21.0
56,b'Belgium',BEL,8.0
204,b'Benin',BEN,0.0
535,"b'Bonaire, Sint Eustatius and Saba'",BES,
854,b'Burkina Faso',BFA,8.0
50,b'Bangladesh',BGD,15.0
100,b'Bulgaria',BGR,8.0
48,b'Bahrain',BHR,4.0
44,b'Bahamas',BHS,13.0
70,b'Bosnia and Herzegovina',BIH,5.0
652,b'Saint Barthlemy',BLM,
112,b'Belarus',BLR,2.0
84,b'Belize',BLZ,13.0
60,b'Bermuda',BMU,
68,"b'Bolivia, Plurinational State of'",BOL,1.0
76,b'Brazil',BRA,1.0
52,b'Barbados',BRB,13.0
96,b'Brunei Darussalam',BRN,15.0
64,b'Bhutan',BTN,15.0
74,b'Bouvet Island',BVT,
72,b'Botswana',BWA,
140,b'Central African Republic',CAF,8.0
124,b'Canada',CAN,13.0
166,b'Cocos (Keeling) Islands',CCK,
756,b'Switzerland',CHE,9.0
152,b'Chile',CHL,1.0
156,b'China',CHN,15.0
384,"b""Cte d'Ivoire""",CIV,8.0
120,b'Cameroon',CMR,0.0
180,"b'Congo, The Democratic Republic of the'",COD,7.0
178,b'Congo',COG,8.0
184,b'Cook Islands',COK,3.0
170,b'Colombia',COL,18.0
174,b'Comoros',COM,17.0
132,b'Cabo Verde',CPV,8.0
188,b'Costa Rica',CRI,12.0
192,b'Cuba',CUB,13.0
531,b'Curaao',CUW,
162,b'Christmas Island',CXR,
136,b'Cayman Islands',CYM,
196,b'Cyprus',CYP,9.0
203,b'Czechia',CZE,6.0
276,b'Germany',DEU,8.0
262,b'Djibouti',DJI,13.0
212,b'Dominica',DMA,8.0
208,b'Denmark',DNK,10.0
214,b'Dominican Republic',DOM,13.0
12,b'Algeria',DZA,8.0
218,b'Ecuador',ECU,2.0
818,b'Egypt',EGY,7.0
232,b'Eritrea',ERI,7.0
732,b'Western Sahara',ESH,
724,b'Spain',ESP,0.0
233,b'Estonia',EST,8.0
231,b'Ethiopia',ETH,13.0
246,b'Finland',FIN,10.0
242,b'Fiji',FJI,3.0
238,b'Falkland Islands (Malvinas)',FLK,
250,b'France',FRA,0.0
234,b'Faroe Islands',FRO,10.0
583,"b'Micronesia, Federated States of'",FSM,15.0
266,b'Gabon',GAB,0.0
826,b'United Kingdom',GBR,9.0
268,b'Georgia',GEO,16.0
831,b'Guernsey',GGY,
288,b'Ghana',GHA,8.0
292,b'Gibraltar',GIB,
324,b'Guinea',GIN,8.0
312,b'Guadeloupe',GLP,
270,b'Gambia',GMB,8.0
624,b'Guinea-Bissau',GNB,0.0
226,b'Equatorial Guinea',GNQ,8.0
300,b'Greece',GRC,7.0
308,b'Grenada',GRD,8.0
304,b'Greenland',GRL,
320,b'Guatemala',GTM,14.0
254,b'French Guiana',GUF,
316,b'Guam',GUM,
328,b'Guyana',GUY,8.0
344,b'Hong Kong',HKG,15.0
334,b'Heard Island and McDonald Islands',HMD,
340,b'Honduras',HND,12.0
191,b'Croatia',HRV,5.0
332,b'Haiti',HTI,8.0
348,b'Hungary',HUN,6.0
360,b'Indonesia',IDN,15.0
