CountryId,Name,ISOCode,CommId
533,b'Aruba',ABW,
4,b'Afghanistan',AFG,0.0
24,b'Angola',AGO,18.0
660,b'Anguilla',AIA,
248,b'land Islands',ALA,
8,b'Albania',ALB,3.0
20,b'Andorra',AND,
784,b'United Arab Emirates',ARE,13.0
32,b'Argentina',ARG,4.0
51,b'Armenia',ARM,5.0
16,b'American Samoa',ASM,
10,b'Antarctica',ATA,
260,b'French Southern Territories',ATF,
28,b'Antigua and Barbuda',ATG,21.0
36,b'Australia',AUS,7.0
40,b'Austria',AUT,2.0
31,b'Azerbaijan',AZE,5.0
108,b'Burundi',BDI,
56,b'Belgium',BEL,2.0
204,b'Benin',BEN,9.0
535,"b'Bonaire, Sint Eustatius and Saba'",BES,
854,b'Burkina Faso',BFA,9.0
50,b'Bangladesh',BGD,9.0
100,b'Bulgaria',BGR,8.0
48,b'Bahrain',BHR,13.0
44,b'Bahamas',BHS,21.0
70,b'Bosnia and Herzegovina',BIH,3.0
652,b'Saint Barthlemy',BLM,
112,b'Belarus',BLR,5.0
84,b'Belize',BLZ,
60,b'Bermuda',BMU,
68,"b'Bolivia, Plurinational State of'",BOL,
76,b'Brazil',BRA,4.0
52,b'Barbados',BRB,14.0
96,b'Brunei Darussalam',BRN,6.0
64,b'Bhutan',BTN,2.0
74,b'Bouvet Island',BVT,
72,b'Botswana',BWA,18.0
140,b'Central African Republic',CAF,
124,b'Canada',CAN,21.0
166,b'Cocos (Keeling) Islands',CCK,
756,b'Switzerland',CHE,2.0
152,b'Chile',CHL,11.0
156,b'China',CHN,12.0
384,"b""Cte d'Ivoire""",CIV,17.0
120,b'Cameroon',CMR,1.0
180,"b'Congo, The Democratic Republic of the'",COD,18.0
178,b'Congo',COG,1.0
184,b'Cook Islands',COK,7.0
170,b'Colombia',COL,1.0
174,b'Comoros',COM,20.0
132,b'Cabo Verde',CPV,2.0
188,b'Costa Rica',CRI,1.0
192,b'Cuba',CUB,
531,b'Curaao',CUW,
162,b'Christmas Island',CXR,
136,b'Cayman Islands',CYM,
196,b'Cyprus',CYP,8.0
203,b'Czechia',CZE,2.0
276,b'Germany',DEU,2.0
262,b'Djibouti',DJI,10.0
212,b'Dominica',DMA,
208,b'Denmark',DNK,2.0
214,b'Dominican Republic',DOM,21.0
12,b'Algeria',DZA,2.0
218,b'Ecuador',ECU,21.0
818,b'Egypt',EGY,10.0
232,b'Eritrea',ERI,
732,b'Western Sahara',ESH,
724,b'Spain',ESP,2.0
233,b'Estonia',EST,2.0
231,b'Ethiopia',ETH,18.0
246,b'Finland',FIN,2.0
242,b'Fiji',FJI,7.0
238,b'Falkland Islands (Malvinas)',FLK,
250,b'France',FRA,1.0
234,b'Faroe Islands',FRO,2.0
583,"b'Micronesia, Federated States of'",FSM,
266,b'Gabon',GAB,1.0
826,b'United Kingdom',GBR,2.0
268,b'Georgia',GEO,8.0
831,b'Guernsey',GGY,
288,b'Ghana',GHA,2.0
292,b'Gibraltar',GIB,
324,b'Guinea',GIN,8.0
312,b'Guadeloupe',GLP,
270,b'Gambia',GMB,
624,b'Guinea-Bissau',GNB,1.0
226,b'Equatorial Guinea',GNQ,2.0
300,b'Greece',GRC,8.0
308,b'Grenada',GRD,
304,b'Greenland',GRL,
320,b'Guatemala',GTM,16.0
254,b'French Guiana',GUF,
316,b'Guam',GUM,
328,b'Guyana',GUY,14.0
344,b'Hong Kong',HKG,12.0
334,b'Heard Island and McDonald Islands',HMD,
340,b'Honduras',HND,16.0
191,b'Croatia',HRV,2.0
332,b'Haiti',HTI,
348,b'Hungary',HUN,2.0
360,b'Indonesia',IDN,6.0
833,b'Isle of Man',IMN,
356,b'India',IND,9.0
86,b'British Indian Ocean Territory',IOT,
372,b'Ireland',IRL,2.0
364,"b'Iran, Islamic Republic of'",IRN,8.0
368,b'Iraq',IRQ,8.0
352,b'Iceland',ISL,2.0
376,b'Israel',ISR,8.0
380,b'Italy',ITA,2.0
388,b'Jamaica',JAM,21.0
832,b'Jersey',JEY,
400,b'Jordan',JOR,13.0
392,b'Japan',JPN,22.0
398,b'Kazakhstan',KAZ,5.0
404,b'Kenya',KEN,19.0
417,b'Kyrgyzstan',KGZ,5.0
116,b'Cambodia',KHM,12.0
296,b'Kiribati',KIR,7.0
659,b'Saint Kitts and Nevis',KNA,
410,"b'Korea, Republic of'",KOR,22.0
414,b'Kuwait',KWT,13.0
418,"b""Lao People's Democratic Republic""",LAO,15.0
422,b'Lebanon',LBN,10.0
430,b'Liberia',LBR,4.0
434,b'Libya',LBY,2.0
662,b'Saint Lucia',LCA,21.0
438,b'Liechtenstein',LIE,
144,b'Sri Lanka',LKA,2.0
426,b'Lesotho',LSO,18.0
440,b'Lithuania',LTU,2.0
442,b'Luxembourg',LUX,2.0
428,b'Latvia',LVA,2.0
446,b'Macao',MAC,12.0
663,b'Saint Martin (French part)',MAF,
504,b'Morocco',MAR,1.0
492,b'Monaco',MCO,
498,"b'Moldova, Republic of'",MDA,8.0
450,b'Madagascar',MDG,20.0
462,b'Maldives',MDV,9.0
484,b'Mexico',MEX,21.0
584,b'Marshall Islands',MHL,4.0
807,b'North Macedonia',MKD,3.0
466,b'Mali',MLI,17.0
470,b'Malta',MLT,2.0
104,b'Myanmar',MMR,15.0
499,b'Montenegro',MNE,3.0
496,b'Mongolia',MNG,12.0
580,b'Northern Mariana Islands',MNP,
508,b'Mozambique',MOZ,18.0
478,b'Mauritania',MRT,1.0
500,b'Montserrat',MSR,
474,b'Martinique',MTQ,
480,b'Mauritius',MUS,10.0
454,b'Malawi',MWI,18.0
458,b'Malaysia',MYS,6.0
175,b'Mayotte',MYT,
516,b'Namibia',NAM,18.0
540,b'New Caledonia',NCL,7.0
562,b'Niger',NER,1.0
574,b'Norfolk Island',NFK,
566,b'Nigeria',NGA,2.0
558,b'Nicaragua',NIC,16.0
570,b'Niue',NIU,7.0
528,b'Netherlands',NLD,2.0
578,b'Norway',NOR,2.0
524,b'Nepal',NPL,9.0
520,b'Nauru',NRU,7.0
554,b'New Zealand',NZL,7.0
512,b'Oman',OMN,13.0
586,b'Pakistan',PAK,0.0
