CountryId,Name,ISOCode,CommId
533,b'Aruba',ABW,
4,b'Afghanistan',AFG,7.0
24,b'Angola',AGO,5.0
660,b'Anguilla',AIA,
248,b'land Islands',ALA,
8,b'Albania',ALB,6.0
20,b'Andorra',AND,
784,b'United Arab Emirates',ARE,7.0
32,b'Argentina',ARG,2.0
51,b'Armenia',ARM,
16,b'American Samoa',ASM,
10,b'Antarctica',ATA,
260,b'French Southern Territories',ATF,
28,b'Antigua and Barbuda',ATG,4.0
36,b'Australia',AUS,0.0
40,b'Austria',AUT,1.0
31,b'Azerbaijan',AZE,7.0
108,b'Burundi',BDI,
56,b'Belgium',BEL,0.0
204,b'Benin',BEN,
535,"b'Bonaire, Sint Eustatius and Saba'",BES,
854,b'Burkina Faso',BFA,
50,b'Bangladesh',BGD,
100,b'Bulgaria',BGR,6.0
48,b'Bahrain',BHR,8.0
44,b'Bahamas',BHS,
70,b'Bosnia and Herzegovina',BIH,0.0
652,b'Saint Barthlemy',BLM,
112,b'Belarus',BLR,9.0
84,b'Belize',BLZ,11.0
60,b'Bermuda',BMU,
68,"b'Bolivia, Plurinational State of'",BOL,
76,b'Brazil',BRA,2.0
52,b'Barbados',BRB,
96,b'Brunei Darussalam',BRN,10.0
64,b'Bhutan',BTN,
74,b'Bouvet Island',BVT,
72,b'Botswana',BWA,
140,b'Central African Republic',CAF,
124,b'Canada',CAN,11.0
166,b'Cocos (Keeling) Islands',CCK,
756,b'Switzerland',CHE,0.0
152,b'Chile',CHL,2.0
156,b'China',CHN,3.0
384,"b""Cte d'Ivoire""",CIV,0.0
120,b'Cameroon',CMR,0.0
180,"b'Congo, The Democratic Republic of the'",COD,
178,b'Congo',COG,
184,b'Cook Islands',COK,
170,b'Colombia',COL,
174,b'Comoros',COM,
132,b'Cabo Verde',CPV,
188,b'Costa Rica',CRI,11.0
192,b'Cuba',CUB,
531,b'Curaao',CUW,
162,b'Christmas Island',CXR,
136,b'Cayman Islands',CYM,
196,b'Cyprus',CYP,1.0
203,b'Czechia',CZE,0.0
276,b'Germany',DEU,1.0
262,b'Djibouti',DJI,
212,b'Dominica',DMA,4.0
208,b'Denmark',DNK,1.0
214,b'Dominican Republic',DOM,
12,b'Algeria',DZA,
218,b'Ecuador',ECU,
818,b'Egypt',EGY,8.0
232,b'Eritrea',ERI,
732,b'Western Sahara',ESH,
724,b'Spain',ESP,0.0
233,b'Estonia',EST,1.0
