0 1 2
0 2 28
0 3 3
0 4 5
0 5 2
0 6 1
0 7 4
0 8 3
0 9 18
10 11 1
10 12 4
10 13 1
14 15 778
16 17 2
16 18 1
16 19 3
16 20 1
1 21 6
1 22 4
1 12 126
1 23 2651
1 24 4
1 25 13
1 26 367
1 27 4
1 28 26
1 29 93
1 30 1
1 31 16
1 32 26
33 34 107
33 35 2
33 15 431
33 36 14
37 38 1128
37 11 2
37 18 5
37 35 180
37 20 95
37 13 1
38 15 4624
21 1 20
21 11 5
21 39 3
21 22 31
21 5 6
21 12 2662
21 23 1875
21 25 7
21 40 1
21 41 424
21 26 2653
21 27 14
21 30 23
21 31 5
21 32 43
21 42 2151
43 44 102
43 45 3
43 46 1
43 17 17
43 47 4
43 39 5
43 5 1
43 23 1
43 6 6
43 48 1
43 25 2
43 49 2
43 50 17
43 51 8
43 52 18
43 53 3
43 54 18
43 55 1
43 56 1
43 20 9
43 57 1
43 42 3
43 58 1
3 1 1
3 22 8
3 23 36
3 6 4
3 24 8
3 8 561
3 31 5
3 42 3
59 12 69
60 12 2
61 21 52
61 12 24
11 12 1
11 58 2408
47 17 10185
47 62 1404
47 63 36
47 64 384
47 65 58
47 18 3
47 66 1
47 67 12
47 15 4206
47 20 5
47 68 206
69 20 3
70 71 3
72 21 2
72 12 4
72 58 45
4 24 1
4 29 7
22 21 19
22 12 4
22 23 1
22 26 2
22 27 21
22 8 1
22 28 107
5 73 3
5 26 2
5 31 27
74 75 5
76 16 27
76 46 9
76 21 3
76 11 1
76 77 1
76 12 1
76 23 23
76 6 24
76 78 5
76 25 14
76 79 49
76 80 4
76 81 326
76 82 230
76 66 12
76 83 35
76 26 1
76 84 25
76 8 1315
76 15 492
76 85 691
76 86 100
76 31 4
76 32 1
76 87 20
76 57 22
76 88 2
76 36 94
76 13 125
76 42 2
76 58 1
89 90 13
89 91 1
92 93 2
94 11 5
94 19 1
94 95 394
90 89 1
12 1 8
12 21 337
12 3 3
12 17 1
12 22 17
12 5 2
12 89 1
12 90 2
12 23 506
12 24 2
12 96 14
12 25 1087
12 40 3
12 41 146
12 26 42
12 53 96
12 27 1
12 56 3
12 97 7
12 8 1
12 28 1
12 29 1
12 30 397
12 31 2
12 32 1650
12 36 94
12 42 352
34 14 665
34 91 1
34 15 182
34 36 33
23 1 334
23 21 44
23 4 66
23 22 11
23 5 120
23 90 111
23 12 282
23 24 9
23 25 10
23 91 1
23 40 57
23 41 15
23 26 163
23 27 78
23 8 10
23 28 1
23 29 22
23 30 22
23 31 105
23 32 212
23 42 11
98 11 1
98 26 2
98 42 6
98 58 35
6 0 85
6 1 1
6 3 1188
6 39 57
6 22 5
6 12 1
6 23 138
6 24 19
6 25 46
6 91 2
6 99 10
6 26 20
6 7 56
6 27 10
6 8 205
6 9 132
6 28 1
6 31 1
6 32 7
6 42 1
100 101 10
100 102 61
100 71 13
103 11 37
103 58 4
102 11 85
102 25 30
102 30 11
102 58 12312
24 1 18
24 22 1
24 8 5
24 36 11
48 66 12
48 42 1
104 49 34
104 18 10
104 26 3
104 20 15
96 26 3
96 42 2
105 23 3
105 26 4
105 15 1724
105 29 15
105 36 3
105 42 65
25 0 2
25 1 1045
25 21 82
25 2 14
25 4 473
25 22 19
25 5 13
25 89 2
25 12 677
25 23 812
25 6 178
25 24 60
25 96 6
25 91 1
25 40 89
